Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality,Density,juiciness_scaled,ripeness_scaled,acidity_scaled,size_scaled,weight_scaled,sweetness_scaled,crunchiness_scaled
-3.970049,-2.512336,5.34633,-1.012009,1.8449,0.32984,-0.49159,good,0.6328224160457465,0.5858187944140534,0.47277002536016965,0.452225049624447,0.2346686512165817,0.3583702160694412,0.9224843683599584,0.3687811473713538
-1.450723,-1.873304,-0.743178,1.981552,-2.092821,1.691484,0.784608,bad,1.2912899292283917,0.2903338511064586,0.5766929905248154,0.5407560064415009,0.4204861016354098,0.4077523062754152,0.46357081227705765,0.5876901566445409
-1.111048,-0.951366,-1.147093,0.241394,-0.755813,0.286725,-2.72048,bad,0.8562780365924785,0.3906623744024973,0.46947941588877057,0.2976050264462542,0.44553944624861797,0.4789963527086381,0.43313123177150203,0.46043827710749097
-0.791741,-0.125727,-0.683673,1.12681,1.499429,1.258607,-0.318278,bad,0.15879814232179462,0.5598947945041008,0.5436550882599236,0.4642478526596165,0.46909051214516523,0.5427987594356412,0.4680551895296555,0.5251857599062809
-1.195217,-2.839257,3.664059,1.588232,0.853286,0.86753,-0.722809,good,2.375515910499934,0.5114084929800469,0.5138074324499657,0.43618518801654416,0.43933140926400294,0.33310693925039725,0.7957061513176067,0.5589279929447433
-0.157272,0.829704,-3.272156,1.226894,-1.364589,1.487908,1.052511,bad,-5.27559896230734,0.3449800769906125,0.5611557270724313,0.5593406687933924,0.5158869219586564,0.6166310242167226,0.27298361094068985,0.5325045649294949
-6.905803,-0.599815,3.640811,-0.807991,3.090987,-1.912564,-2.135252,good,0.08685666243302916,0.6793246437495779,0.30162597245275613,0.33820279794889785,0.01813679970674298,0.5061629471733916,0.7939541506055926,0.383700294919674
-0.21649,-2.312653,1.232709,-1.108093,3.14731,-2.334935,2.168928,good,10.682493417709825,0.6835510982043027,0.26938990581598715,0.636787479724631,0.5115191911533131,0.3738009987510588,0.6124763280573102,0.3617548488436121
-0.292024,-1.351282,-1.738429,-0.342616,2.838636,-0.038033,2.621636,bad,4.627297756348794,0.6603883298439926,0.44469333794112786,0.6681922244419357,0.5059480442275339,0.44809228532732964,0.3885673513069656,0.417731597502287
-2.823724,-0.451234,1.0822,0.833983,2.471817,-0.821953,-2.698722,good,0.15980102871243793,0.6328623849080389,0.38486324222457563,0.299114397686787,0.31921792703533763,0.5176447514412433,0.6011337663244936,0.5037723100188594
5.403276,-4.026721,-3.991688,1.621552,2.08626,3.16207,4.915941,good,-0.7452369636494601,0.6039303482587064,0.688930592753897,0.8273501426334318,0.926015207179193,0.24134400036103526,0.2187587065912019,0.561364572052028
-1.123378,-1.396915,2.178745,1.077398,2.100609,0.293826,-0.600272,good,1.2434950657748327,0.6050070912406293,0.47002137617768175,0.44468568547500387,0.44463002477491265,0.4445659315260032,0.6837708800872022,0.5215724271677108
-0.657196,-2.271627,1.324874,-0.097875,3.63797,-3.413761,0.790723,good,3.45654416642828,0.7203700201856479,0.1870520871080767,0.5411802092696956,0.4790141222165102,0.3769713401937257,0.6194220070672369,0.4356286805543875
0.485734,-4.694671,-1.945942,2.022092,0.86183,-0.643014,-1.414627,good,-9.66510682801698,0.5120496311804477,0.39852016831068665,0.38819317621017824,0.5633129936635524,0.18972723132117447,0.3729288910629802,0.5906547099761533
0.430265,2.580518,0.469364,0.93806,1.339322,-2.722897,2.579043,good,5.997508512195973,0.5478804319278419,0.23977999205643893,0.6652375112675625,0.5592217771408468,0.7519276210724077,0.5549496167912931,0.5113831096511786
-0.692217,-1.029835,-2.476279,1.525175,0.123993,4.055425,-1.968352,bad,1.4877343376426757,0.4566826500979266,0.7571129521258488,0.34978079500951564,0.47643108495530706,0.4729325511519515,0.3329619777109759,0.5543168474234931
1.364217,-1.296612,-0.384658,-0.553006,3.030874,-1.303849,0.501984,good,-0.9504441009018361,0.674813789273842,0.3480841272569467,0.5211501356131004,0.6281070978391468,0.4523169859237952,0.49058936420717114,0.40234648710667925
0.176605,-2.675057,-3.968713,1.413701,-4.563025,3.663401,-0.162041,bad,-15.147119277483649,0.10497077208227334,0.7271930196796992,0.47508614820640943,0.5405126245844726,0.34579572355512844,0.22049013365411146,0.5461651301544215
0.448403,-1.394092,1.270389,0.874448,1.730055,-2.757573,1.760896,good,-3.1090157737570894,0.5772008734607506,0.23713346128918317,0.608481947689652,0.5605595781700493,0.44478408279331294,0.6153159438018341,0.5067313788536816
